STUSAB,SUMLEV,GEOCODE,NAME,POP100,INTPTLAT,INTPTLON
AK,040,02,Alaska,733391,+63.3473560,-152.8397334
AK,050,02013,Aleutians East Borough,3420,+55.2450437,-161.9974772
AK,050,02016,Aleutians West Census Area,5232,+51.9594469,+178.3388130
AK,050,02020,Anchorage Municipality,291247,+61.1742503,-149.2843294
AK,050,02050,Bethel Census Area,18666,+60.9291413,-160.1526246
AK,050,02060,Bristol Bay Borough,844,+58.7416610,-156.9668053
AK,050,02063,Chugach Census Area,7102,+60.4884737,-146.2030924
AK,050,02066,Copper River Census Area,2617,+62.0344790,-143.9221674
AK,050,02068,Denali Borough,1619,+63.6820386,-150.0270164
AK,050,02070,Dillingham Census Area,4857,+59.5433255,-158.2671226
AK,050,02090,Fairbanks North Star Borough,95655,+64.6760436,-146.5481586
AK,050,02100,Haines Borough,2080,+59.0984037,-135.5757906
AK,050,02105,Hoonah-Angoon Census Area,2365,+58.4033360,-135.8849090
AK,050,02110,Juneau City and Borough,32255,+58.3729099,-134.1784454
AK,050,02122,Kenai Peninsula Borough,58799,+60.3607660,-152.0526403
AK,050,02130,Ketchikan Gateway Borough,13948,+55.4499378,-131.1066847
AK,050,02150,Kodiak Island Borough,13101,+57.7044003,-153.9183721
AK,050,02158,Kusilvak Census Area,8368,+62.2835878,-163.1901714
AK,050,02164,Lake and Peninsula Borough,1476,+58.1085067,-156.4134134
AK,050,02170,Matanuska-Susitna Borough,107081,+62.2656263,-149.5039935
AK,050,02180,Nome Census Area,10046,+64.7836858,-164.1889119
AK,050,02185,North Slope Borough,11031,+69.4493427,-153.4728302
AK,050,02188,Northwest Arctic Borough,7793,+67.0050655,-160.0210864
AK,050,02195,Petersburg Borough,3398,+57.1124581,-133.0085979
AK,050,02198,Prince of Wales-Hyder Census Area,5753,+55.6827733,-133.1623885
AK,050,02220,Sitka City and Borough,8458,+57.1932044,-135.3673965
AK,050,02230,Skagway Municipality,1240,+59.5603794,-135.3382787
